Explored 1965 nodes
Solutions to 8-Queens:
Solution #59:  Q1 = 5,  Q2 = 7,  Q3 = 2,  Q4 = 4,  Q5 = 8,  Q6 = 1,  Q7 = 3,  Q8 = 6,  
Solution #60:  Q1 = 5,  Q2 = 7,  Q3 = 2,  Q4 = 6,  Q5 = 3,  Q6 = 1,  Q7 = 4,  Q8 = 8,  
Solution #61:  Q1 = 5,  Q2 = 7,  Q3 = 2,  Q4 = 6,  Q5 = 3,  Q6 = 1,  Q7 = 8,  Q8 = 4,  
Solution #62:  Q1 = 5,  Q2 = 7,  Q3 = 4,  Q4 = 1,  Q5 = 3,  Q6 = 8,  Q7 = 6,  Q8 = 2,  
Solution #63:  Q1 = 5,  Q2 = 8,  Q3 = 4,  Q4 = 1,  Q5 = 3,  Q6 = 6,  Q7 = 2,  Q8 = 7,  
Solution #64:  Q1 = 5,  Q2 = 8,  Q3 = 4,  Q4 = 1,  Q5 = 7,  Q6 = 2,  Q7 = 6,  Q8 = 3,  
Solution #65:  Q1 = 6,  Q2 = 1,  Q3 = 5,  Q4 = 2,  Q5 = 8,  Q6 = 3,  Q7 = 7,  Q8 = 4,  
Solution #66:  Q1 = 6,  Q2 = 2,  Q3 = 7,  Q4 = 1,  Q5 = 3,  Q6 = 5,  Q7 = 8,  Q8 = 4,  
Solution #67:  Q1 = 6,  Q2 = 2,  Q3 = 7,  Q4 = 1,  Q5 = 4,  Q6 = 8,  Q7 = 5,  Q8 = 3,  
Solution #68:  Q1 = 6,  Q2 = 3,  Q3 = 1,  Q4 = 7,  Q5 = 5,  Q6 = 8,  Q7 = 2,  Q8 = 4,  
Solution #69:  Q1 = 6,  Q2 = 3,  Q3 = 1,  Q4 = 8,  Q5 = 4,  Q6 = 2,  Q7 = 7,  Q8 = 5,  
Solution #70:  Q1 = 6,  Q2 = 3,  Q3 = 1,  Q4 = 8,  Q5 = 5,  Q6 = 2,  Q7 = 4,  Q8 = 7,  
Solution #71:  Q1 = 6,  Q2 = 3,  Q3 = 5,  Q4 = 7,  Q5 = 1,  Q6 = 4,  Q7 = 2,  Q8 = 8,  
